CESM2-WACCM	CFmon	tnhusmp
BCC-CSM2-MR	Omon	tob
GFDL-CM4	AERmon	ps
BCC-ESM1	Amon	tauv
CESM2	EdayZ	utendwtem
CESM2-WACCM	SImon	simass
CESM2	Omon	fddtdin
IPSL-CM6A-LR	SImon	sidconcdyn
CESM2-WACCM	EmonZ	oxprod
CNRM-CM6-1	LImon	snc
CESM2	SIday	sispeed
MRI-ESM2-0	Amon	rlds
CESM2-WACCM	Oyr	expn
GFDL-CM4	AERmon	mmrpm1
CESM2	AERmon	dryss
IPSL-CM6A-LR	CFday	rsut
CESM2	ImonAnt	icem
CNRM-ESM2-1	CFday	zg
CNRM-ESM2-1	SImon	sidmasstrany
GISS-E2-1-G	day	tasmin
HadGEM3-GC31-LL	Emon	vt
GISS-E2-1-G	fx	orog
IPSL-CM6A-LR	Lmon	cropFrac
CESM2-WACCM	CFmon	hur
CESM2	AERmon	va
CESM2-WACCM	Amon	cfc12global
BCC-CSM2-MR	SImon	sitemptop
IPSL-CM6A-LR	CFmon	cltisccp
IPSL-CM6A-LR	Omon	physios
BCC-ESM1	SImon	sidmasssi
GISS-E2-1-G	Amon	clt
MRI-ESM2-0	Amon	sbl
IPSL-CM6A-LR	Omon	fsn
IPSL-CM6A-LR	CFday	cli
BCC-ESM1	Omon	sob
CNRM-ESM2-1	Emon	sconcdust
IPSL-CM6A-LR	6hrPlevPt	hus
GFDL-CM4	day	ta
CESM2	Omon	fgsf6
IPSL-CM6A-LR	CFday	pfull
GFDL-AM4	Amon	ts
CESM2-WACCM	AERmon	hno3
CNRM-ESM2-1	Omon	vmo
IPSL-CM6A-LR	Emon	osaltpmdiff
CNRM-CM6-1	AERmonZ	va
IPSL-CM6A-LR	Lmon	gpp
CNRM-ESM2-1	Emon	cfadDbze94
GFDL-AM4	Amon	rsds
CESM2-WACCM	LImon	snw
IPSL-CM6A-LR	Omon	hfbasinpmadv
CNRM-ESM2-1	E3hr	uas
CESM2-WACCM	Omon	co3
IPSL-CM6A-LR	SImon	siconc
CESM2	SImon	sitempbot
CNRM-ESM2-1	Efx	sftgrf
IPSL-CM6A-LR	Amon	rsut
IPSL-CM6A-LR	SImon	siitdsnthick
CESM2-WACCM	CFday	rsutcs
GFDL-CM4	Eday	wap
CESM2	Omon	talknatos
CNRM-ESM2-1	Emon	co23D
GISS-E2-1-G	fx	sftgif
GFDL-CM4	Eday	loadbc
CNRM-ESM2-1	Omon	hfbasinpmadv
CESM2	Omon	msftmzsmpa
GFDL-CM4	Lmon	lai
MIROC6	Amon	rlut
IPSL-CM6A-ATM-HR	CFmon	rsdcs4co2
CNRM-ESM2-1	Amon	sfcWind
IPSL-CM6A-LR	Emon	clmisr
CNRM-ESM2-1	Emon	hussLut
CESM2	Emon	c14Soil
CESM2	SImon	siforcetiltx
BCC-CSM2-MR	Amon	cl
CESM2-WACCM	Amon	cfc11global
IPSL-CM6A-LR	E3hrPt	cllcalipso
CESM2	Oyr	osaltrmadvect
CESM2	Omon	so
GFDL-CM4	day	zg
CESM2-WACCM	Eday	ta500
GISS-E2-1-G	SImon	siflsenstop
IPSL-CM6A-LR	Omon	fbddtdic
CNRM-ESM2-1	Amon	rsuscs
CNRM-CM6-1	CFsubhr	hus
CNRM-ESM2-1	Emon	rsusLut
CNRM-ESM2-1	SIday	sitemptop
CESM2-WACCM	SImon	sipr
IPSL-CM6A-LR	CFmon	rlu4co2
IPSL-CM6A-ATM-HR	Amon	hus
IPSL-CM6A-LR	CFmon	rsucs
CNRM-ESM2-1	Lmon	mrros
IPSL-CM6A-LR	Esubhr	rsdt
CESM2	day	sfcWind
CESM2-WACCM	Emon	fNgasFire
CESM2-WACCM	Eday	ta850
CESM2-WACCM	EmonZ	oxloss
CNRM-ESM2-1	Omon	bfe
IPSL-CM6A-ATM-HR	CFday	hur
IPSL-CM6A-LR	CFday	wap500
CESM2-WACCM	EmonZ	tntrscs
CNRM-ESM2-1	AERmon	emiso2
CESM2	Emon	conccn
BCC-CSM2-MR	3hr	prsn
CNRM-ESM2-1	Emon	tntpbl
CESM2-WACCM	AERmon	n2o
CESM2-WACCM	Amon	huss
CESM2-WACCM	CFmon	tntr
BCC-ESM1	day	mrso
CNRM-ESM2-1	SImon	siflsensupbot
MIROC6	Lmon	mrsos
CESM2	Eyr	baresoilFrac
CNRM-CM6-1	CFmon	tnt
IPSL-CM6A-LR	Omon	chldiat
CESM2	Omon	fddtdip
GISS-E2-1-G	SImon	sistryubot
CNRM-ESM2-1	SImon	sidmassgrowthwat
IPSL-CM6A-LR	Omon	mlotstmax
CESM2-WACCM	Omon	epc100
CESM2-WACCM	AERmon	od550soa
IPSL-CM6A-LR	AERmonZ	o3
GISS-E2-1-G	day	zg
IPSL-CM6A-ATM-HR	3hr	hfss
GFDL-CM4	SImon	sitemptop
CESM2-WACCM	SImon	siextentn
IPSL-CM6A-LR	Oyr	po4
GISS-E2-1-G	SImon	sivol
