   CMIP5ModelName    RCP2.6   4.5    6.0    8.5
      GFDL-ESM2G     0.10   0.22   0.23   0.41
      GFDL-ESM2M     0.13   0.20   0.27   0.32
       GISS-E2-R     0.07   0.17   0.19   0.29
       GISS-E2-H     0.08   0.17   0.17   0.26
    GISS-E2-R-CC      NaN   0.16    NaN    NaN
    GISS-E2-H-CC      NaN   0.19    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.34    NaN   0.56
      HadGEM2-AO     0.21   0.35   0.29   0.47
          inmcm4      NaN   0.24    NaN   0.42
    IPSL-CM5A-LR     0.15   0.28   0.26   0.41
    IPSL-CM5A-MR     0.14   0.20   0.22   0.38
    IPSL-CM5B-LR      NaN   0.11    NaN   0.21
          MIROC5     0.20   0.26   0.25   0.39
       MIROC-ESM     0.32   0.40   0.45   0.66
  MIROC-ESM-CHEM     0.33   0.42   0.47   0.73
      MPI-ESM-LR     0.16   0.21    NaN   0.47
      MPI-ESM-MR     0.12   0.25    NaN   0.52
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.16   0.24   0.26   0.40
       NorESM1-M     0.14   0.21   0.21   0.37
      NorESM1-ME     0.15   0.21   0.23   0.40
CGI DJF
      HadGEM2-ES     0.12   0.32   0.28   0.51
       ACCESS1-0      NaN   0.23    NaN   0.40
       ACCESS1-3      NaN   0.20    NaN   0.37
      bcc-csm1-1     0.20   0.27   0.31   0.45
    bcc-csm1-1-m     0.18   0.24   0.27   0.40
         BNU-ESM     0.13   0.22    NaN   0.42
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.25   0.28    NaN   0.43
      CESM1-CAM5     0.08   0.06   0.15   0.16
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.36
         CMCC-CM      NaN   0.26    NaN   0.36
        CMCC-CMS      NaN   0.23    NaN   0.44
           CCSM4     0.14   0.17   0.17   0.23
        CNRM-CM5     0.06   0.12    NaN   0.27
   CSIRO-Mk3-6-0    -0.05  -0.02   0.08   0.18
        EC-EARTH      NaN    NaN    NaN   0.33
       FGOALS-g2     0.10   0.12    NaN   0.30
         FIO-ESM    -0.26  -0.02   0.03   0.21
        GFDL-CM3     0.15   0.26   0.30   0.49
      GFDL-ESM2G    -0.03   0.03   0.06   0.22
      GFDL-ESM2M     0.00   0.04   0.09   0.12
       GISS-E2-R    -0.08   0.04   0.05   0.07
       GISS-E2-H     0.08   0.18   0.20   0.23
    GISS-E2-R-CC      NaN  -0.10    NaN    NaN
    GISS-E2-H-CC      NaN   0.09    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.09    NaN   0.39
      HadGEM2-AO     0.04   0.15   0.15   0.35
          inmcm4      NaN   0.05    NaN   0.22
    IPSL-CM5A-LR     0.20   0.26   0.31   0.51
    IPSL-CM5A-MR     0.09   0.19   0.24   0.39
    IPSL-CM5B-LR      NaN   0.27    NaN   0.47
          MIROC5    -0.05  -0.01   0.07   0.19
       MIROC-ESM     0.20   0.32   0.36   0.59
  MIROC-ESM-CHEM     0.17   0.28   0.34   0.60
      MPI-ESM-LR     0.01   0.10    NaN   0.26
      MPI-ESM-MR     0.12   0.16    NaN   0.27
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.10   0.17   0.16   0.32
       NorESM1-M     0.10   0.14   0.12   0.19
      NorESM1-ME     0.08   0.12   0.18   0.25
CGI MAM
      HadGEM2-ES     0.15   0.23   0.26   0.36
       ACCESS1-0      NaN   0.19    NaN   0.30
       ACCESS1-3      NaN   0.20    NaN   0.40
      bcc-csm1-1     0.09   0.16   0.17   0.26
    bcc-csm1-1-m     0.17   0.21   0.23   0.32
         BNU-ESM     0.07   0.12    NaN   0.22
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.19   0.24    NaN   0.39
      CESM1-CAM5     0.06   0.07   0.12   0.08
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.18
         CMCC-CM      NaN   0.23    NaN   0.37
        CMCC-CMS      NaN   0.13    NaN   0.31
           CCSM4     0.12   0.10   0.15   0.18
        CNRM-CM5     0.04   0.08    NaN   0.14
   CSIRO-Mk3-6-0     0.01   0.06   0.10   0.19
        EC-EARTH      NaN    NaN    NaN   0.30
       FGOALS-g2     0.11   0.12    NaN   0.24
         FIO-ESM    -0.05   0.01   0.02   0.10
        GFDL-CM3     0.17   0.21   0.26   0.38
      GFDL-ESM2G     0.00   0.10   0.13   0.25
      GFDL-ESM2M     0.02   0.02   0.04   0.09
       GISS-E2-R    -0.06  -0.01   0.02   0.06
       GISS-E2-H     0.07   0.13   0.10   0.18
    GISS-E2-R-CC      NaN  -0.01    NaN    NaN
    GISS-E2-H-CC      NaN   0.12    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.17    NaN   0.30
      HadGEM2-AO     0.12   0.14   0.14   0.28
          inmcm4      NaN   0.11    NaN   0.24
    IPSL-CM5A-LR     0.09   0.15   0.18   0.23
    IPSL-CM5A-MR     0.10   0.14   0.14   0.20
    IPSL-CM5B-LR      NaN   0.12    NaN   0.21
          MIROC5    -0.02   0.02   0.04   0.16
       MIROC-ESM     0.16   0.24   0.25   0.42
  MIROC-ESM-CHEM     0.14   0.21   0.24   0.40
      MPI-ESM-LR     0.02   0.12    NaN   0.21
      MPI-ESM-MR     0.08   0.17    NaN   0.25
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.08   0.15   0.15   0.27
       NorESM1-M     0.08   0.08   0.08   0.11
      NorESM1-ME     0.07   0.07   0.12   0.12
CGI JJA
      HadGEM2-ES     0.17   0.18   0.22   0.25
       ACCESS1-0      NaN   0.12    NaN   0.16
       ACCESS1-3      NaN   0.14    NaN   0.21
      bcc-csm1-1     0.10   0.16   0.20   0.28
    bcc-csm1-1-m     0.12   0.16   0.21   0.29
         BNU-ESM     0.07   0.09    NaN   0.15
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.16   0.22    NaN   0.28
      CESM1-CAM5     0.12   0.13   0.17   0.16
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.39
         CMCC-CM      NaN   0.28    NaN   0.39
        CMCC-CMS      NaN   0.27    NaN   0.38
           CCSM4     0.06   0.12   0.13   0.20
        CNRM-CM5     0.13   0.18    NaN   0.27
   CSIRO-Mk3-6-0     0.11   0.18   0.12   0.24
        EC-EARTH      NaN    NaN    NaN   0.27
