   CMIP5ModelName    RCP2.6   4.5    6.0    8.5
          inmcm4      NaN  -0.05    NaN  -0.11
    IPSL-CM5A-LR    -0.02  -0.12  -0.16  -0.19
    IPSL-CM5A-MR    -0.11  -0.13  -0.09  -0.17
    IPSL-CM5B-LR      NaN  -0.06    NaN  -0.26
          MIROC5     0.07  -0.01  -0.01  -0.00
       MIROC-ESM     0.05  -0.01  -0.04  -0.07
  MIROC-ESM-CHEM     0.02   0.02  -0.11  -0.05
      MPI-ESM-LR    -0.03  -0.13    NaN  -0.16
      MPI-ESM-MR    -0.11  -0.11    NaN  -0.18
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.04   0.09  -0.06  -0.13
       NorESM1-M    -0.04  -0.06  -0.04  -0.04
      NorESM1-ME     0.00   0.04  -0.05  -0.06
WSA SON
      HadGEM2-ES    -0.15  -0.09  -0.23  -0.37
       ACCESS1-0      NaN  -0.12    NaN  -0.26
       ACCESS1-3      NaN  -0.11    NaN  -0.25
      bcc-csm1-1     0.13   0.11   0.14   0.16
    bcc-csm1-1-m     0.10   0.11   0.14   0.11
         BNU-ESM     0.05  -0.02    NaN  -0.18
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2    -0.30  -0.47    NaN  -0.58
      CESM1-CAM5    -0.17  -0.20  -0.27  -0.25
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.20
         CMCC-CM      NaN  -0.06    NaN  -0.21
        CMCC-CMS      NaN  -0.09    NaN  -0.21
           CCSM4    -0.14  -0.08  -0.17  -0.18
        CNRM-CM5     0.00   0.04    NaN   0.04
   CSIRO-Mk3-6-0     0.07  -0.05  -0.09  -0.12
        EC-EARTH      NaN    NaN    NaN  -0.17
       FGOALS-g2    -0.05  -0.03    NaN  -0.14
         FIO-ESM     0.13   0.21   0.19   0.33
        GFDL-CM3    -0.32  -0.25  -0.39  -0.59
      GFDL-ESM2G    -0.11  -0.26  -0.23  -0.35
      GFDL-ESM2M    -0.09  -0.19  -0.25  -0.27
       GISS-E2-R    -0.06   0.12   0.04   0.10
       GISS-E2-H    -0.00   0.15   0.16   0.26
    GISS-E2-R-CC      NaN   0.15    NaN    NaN
    GISS-E2-H-CC      NaN   0.28    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN  -0.07    NaN  -0.30
      HadGEM2-AO    -0.08  -0.12  -0.08  -0.24
          inmcm4      NaN  -0.04    NaN  -0.11
    IPSL-CM5A-LR    -0.07  -0.04  -0.07   0.06
    IPSL-CM5A-MR    -0.05  -0.04  -0.04  -0.01
    IPSL-CM5B-LR      NaN  -0.27    NaN  -0.50
          MIROC5    -0.04   0.00   0.10   0.06
       MIROC-ESM    -0.01  -0.09  -0.19  -0.25
  MIROC-ESM-CHEM    -0.09  -0.14  -0.26  -0.24
      MPI-ESM-LR     0.01  -0.06    NaN  -0.27
      MPI-ESM-MR     0.04  -0.07    NaN  -0.19
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3    -0.13  -0.04  -0.17  -0.19
       NorESM1-M     0.00  -0.03  -0.02  -0.09
      NorESM1-ME    -0.01  -0.05  -0.11  -0.11
WSA ANN
      HadGEM2-ES     0.07   0.10   0.07   0.03
       ACCESS1-0      NaN   0.07    NaN  -0.07
       ACCESS1-3      NaN   0.07    NaN   0.04
      bcc-csm1-1     0.13   0.14   0.18   0.22
    bcc-csm1-1-m     0.10   0.08   0.12   0.17
         BNU-ESM     0.01  -0.00    NaN  -0.03
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2    -0.05  -0.07    NaN  -0.15
      CESM1-CAM5    -0.06  -0.09  -0.11  -0.05
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.04
         CMCC-CM      NaN   0.00    NaN  -0.07
        CMCC-CMS      NaN  -0.09    NaN  -0.11
           CCSM4    -0.13  -0.09  -0.10  -0.07
        CNRM-CM5    -0.01  -0.01    NaN   0.03
   CSIRO-Mk3-6-0     0.06  -0.05   0.00  -0.04
        EC-EARTH      NaN    NaN    NaN  -0.11
       FGOALS-g2    -0.00  -0.01    NaN  -0.06
         FIO-ESM     0.20   0.20   0.25   0.30
        GFDL-CM3    -0.15  -0.17  -0.24  -0.34
      GFDL-ESM2G    -0.03  -0.07  -0.07   0.00
      GFDL-ESM2M    -0.01  -0.05  -0.07  -0.08
       GISS-E2-R     0.02   0.06   0.03   0.02
       GISS-E2-H     0.01   0.06   0.08   0.13
    GISS-E2-R-CC      NaN   0.09    NaN    NaN
    GISS-E2-H-CC      NaN   0.13    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.14    NaN  -0.07
      HadGEM2-AO     0.15   0.07   0.14   0.08
          inmcm4      NaN  -0.04    NaN  -0.12
    IPSL-CM5A-LR     0.01   0.06  -0.01   0.06
    IPSL-CM5A-MR    -0.07  -0.10  -0.10  -0.14
    IPSL-CM5B-LR      NaN  -0.02    NaN  -0.13
          MIROC5    -0.00  -0.08  -0.02  -0.03
       MIROC-ESM     0.03  -0.02  -0.10  -0.07
  MIROC-ESM-CHEM     0.01  -0.03  -0.12  -0.05
      MPI-ESM-LR    -0.05  -0.10    NaN  -0.20
      MPI-ESM-MR    -0.03  -0.06    NaN  -0.14
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.03   0.09   0.00   0.01
       NorESM1-M     0.04   0.06   0.06   0.09
      NorESM1-ME     0.07   0.08   0.04   0.10
SSA DJF
      HadGEM2-ES     0.03   0.17   0.16   0.29
       ACCESS1-0      NaN   0.23    NaN   0.19
       ACCESS1-3      NaN   0.37    NaN   0.68
      bcc-csm1-1     0.00   0.05   0.05   0.24
    bcc-csm1-1-m     0.05   0.08   0.06   0.20
         BNU-ESM     0.07   0.15    NaN   0.23
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.01   0.05    NaN   0.05
      CESM1-CAM5     0.17   0.19   0.17   0.31
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.58
         CMCC-CM      NaN   0.28    NaN   0.51
        CMCC-CMS      NaN   0.11    NaN   0.34
           CCSM4     0.16   0.14   0.17   0.35
        CNRM-CM5     0.06   0.10    NaN   0.17
   CSIRO-Mk3-6-0     0.20   0.15   0.24   0.20
        EC-EARTH      NaN    NaN    NaN   0.32
       FGOALS-g2     0.02   0.04    NaN   0.07
         FIO-ESM     0.13   0.20   0.26   0.29
        GFDL-CM3     0.15   0.08   0.03   0.02
      GFDL-ESM2G     0.13   0.15   0.09   0.03
      GFDL-ESM2M     0.02   0.06  -0.01   0.00
       GISS-E2-R     0.14   0.24   0.34   0.40
       GISS-E2-H     0.09   0.20   0.15   0.29
    GISS-E2-R-CC      NaN   0.20    NaN    NaN
    GISS-E2-H-CC      NaN   0.18    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.00    NaN   0.10
      HadGEM2-AO    -0.00   0.13  -0.00   0.22
          inmcm4      NaN  -0.02    NaN   0.01
    IPSL-CM5A-LR     0.07   0.01  -0.02   0.06
    IPSL-CM5A-MR     0.15   0.20   0.28   0.34
    IPSL-CM5B-LR      NaN   0.05    NaN   0.21
          MIROC5    -0.02   0.16   0.16   0.21
       MIROC-ESM    -0.07   0.04   0.19   0.11
  MIROC-ESM-CHEM     0.10   0.08   0.07   0.07
      MPI-ESM-LR    -0.00   0.04    NaN   0.09
      MPI-ESM-MR    -0.00   0.15    NaN   0.05
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.19   0.09   0.08   0.47
       NorESM1-M     0.13   0.12   0.17   0.20
      NorESM1-ME     0.09   0.15   0.10   0.15
SSA MAM
      HadGEM2-ES     0.21   0.20   0.35   0.36
       ACCESS1-0      NaN   0.14    NaN   0.29
       ACCESS1-3      NaN   0.36    NaN   0.64
      bcc-csm1-1     0.18   0.20   0.27   0.23
    bcc-csm1-1-m     0.19   0.18   0.23   0.26
         BNU-ESM     0.04   0.12    NaN   0.18
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.04   0.14    NaN   0.28
      CESM1-CAM5     0.34   0.27   0.34   0.49
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.63
         CMCC-CM      NaN   0.22    NaN   0.46
        CMCC-CMS      NaN   0.28    NaN   0.41
           CCSM4     0.10   0.17   0.24   0.32
        CNRM-CM5    -0.02   0.10    NaN   0.17
   CSIRO-Mk3-6-0     0.20   0.21   0.26   0.40
        EC-EARTH      NaN    NaN    NaN   0.18
       FGOALS-g2     0.00   0.01    NaN   0.04
         FIO-ESM     0.08   0.10   0.11   0.20
        GFDL-CM3     0.13   0.15   0.20   0.28
      GFDL-ESM2G     0.05   0.11   0.06   0.07
      GFDL-ESM2M     0.09   0.12   0.12   0.16
       GISS-E2-R    -0.01   0.15   0.21   0.22
       GISS-E2-H     0.06   0.15   0.25   0.29
    GISS-E2-R-CC      NaN   0.19    NaN    NaN
    GISS-E2-H-CC      NaN   0.02    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.22    NaN   0.31
      HadGEM2-AO     0.25   0.29   0.24   0.29
          inmcm4      NaN   0.10    NaN   0.13
    IPSL-CM5A-LR     0.10   0.10   0.04   0.14
    IPSL-CM5A-MR     0.02   0.11   0.12   0.21
    IPSL-CM5B-LR      NaN   0.16    NaN   0.29
          MIROC5    -0.05   0.20   0.16   0.21
       MIROC-ESM     0.00   0.04   0.06   0.15
  MIROC-ESM-CHEM     0.08   0.05   0.05   0.13
      MPI-ESM-LR     0.07   0.21    NaN   0.15
      MPI-ESM-MR    -0.05   0.06    NaN  -0.02
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.07   0.16   0.13   0.35
       NorESM1-M     0.04   0.04  -0.03  -0.01
      NorESM1-ME     0.08   0.08   0.04   0.01
SSA JJA
      HadGEM2-ES     0.14   0.22   0.27   0.43
       ACCESS1-0      NaN   0.31    NaN   0.41
       ACCESS1-3      NaN   0.30    NaN   0.56
      bcc-csm1-1     0.07   0.03   0.00   0.11
    bcc-csm1-1-m     0.21   0.17   0.17   0.37
         BNU-ESM     0.04   0.05    NaN   0.08
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2    -0.03   0.04    NaN   0.23
      CESM1-CAM5     0.15   0.16   0.17   0.32
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.50
         CMCC-CM      NaN   0.09    NaN   0.20
        CMCC-CMS      NaN   0.06    NaN   0.27
           CCSM4     0.08   0.12   0.14   0.24
        CNRM-CM5     0.09   0.05    NaN   0.11
   CSIRO-Mk3-6-0     0.06   0.03   0.02   0.12
        EC-EARTH      NaN    NaN    NaN   0.18
       FGOALS-g2     0.02  -0.06    NaN  -0.14
         FIO-ESM     0.14   0.16   0.13   0.18
        GFDL-CM3    -0.15  -0.14  -0.16  -0.09
      GFDL-ESM2G    -0.01  -0.12  -0.08  -0.16
      GFDL-ESM2M     0.01  -0.10  -0.12  -0.12
       GISS-E2-R     0.05   0.09   0.18   0.16
       GISS-E2-H     0.07   0.13   0.14   0.20
    GISS-E2-R-CC      NaN   0.10    NaN    NaN
    GISS-E2-H-CC      NaN   0.12    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.13    NaN   0.33
      HadGEM2-AO     0.05   0.25   0.30   0.41
          inmcm4      NaN   0.12    NaN   0.14
    IPSL-CM5A-LR     0.06  -0.00   0.01   0.04
    IPSL-CM5A-MR     0.00   0.06   0.01   0.08
    IPSL-CM5B-LR      NaN   0.06    NaN   0.09
          MIROC5     0.13   0.10   0.03   0.10
       MIROC-ESM    -0.05  -0.12  -0.11  -0.11
  MIROC-ESM-CHEM    -0.06  -0.07  -0.06  -0.00
      MPI-ESM-LR     0.11   0.02    NaN   0.07
      MPI-ESM-MR     0.03   0.05    NaN   0.07
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.15   0.16   0.07   0.20
       NorESM1-M     0.06   0.13   0.10   0.12
      NorESM1-ME     0.02   0.05   0.02   0.05
SSA SON
      HadGEM2-ES    -0.01   0.05   0.15   0.21
       ACCESS1-0      NaN   0.35    NaN   0.61
       ACCESS1-3      NaN   0.24    NaN   0.44
      bcc-csm1-1     0.10   0.11   0.10   0.23
    bcc-csm1-1-m     0.08   0.15   0.09   0.20
         BNU-ESM    -0.04   0.01    NaN  -0.06
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2    -0.29  -0.17    NaN  -0.04
      CESM1-CAM5     0.25   0.17   0.10   0.12
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.64
         CMCC-CM      NaN   0.24    NaN   0.50
        CMCC-CMS      NaN   0.22    NaN   0.31
           CCSM4     0.13   0.15   0.10   0.20
        CNRM-CM5     0.17   0.23    NaN   0.23
   CSIRO-Mk3-6-0     0.09   0.13   0.01   0.14
        EC-EARTH      NaN    NaN    NaN   0.13
       FGOALS-g2    -0.01   0.02    NaN  -0.07
         FIO-ESM     0.24   0.26   0.19   0.31
        GFDL-CM3    -0.24  -0.33  -0.43  -0.59
      GFDL-ESM2G    -0.07  -0.01  -0.07  -0.23
      GFDL-ESM2M    -0.08   0.01  -0.06  -0.19
       GISS-E2-R     0.10   0.08   0.13   0.25
       GISS-E2-H    -0.02   0.17   0.11   0.20
    GISS-E2-R-CC      NaN   0.12    NaN    NaN
    GISS-E2-H-CC      NaN   0.17    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.12    NaN   0.23
      HadGEM2-AO     0.02   0.25   0.20   0.16
          inmcm4      NaN   0.14    NaN   0.12
    IPSL-CM5A-LR    -0.01  -0.04  -0.02  -0.02
    IPSL-CM5A-MR     0.05  -0.00  -0.03   0.05
    IPSL-CM5B-LR      NaN   0.18    NaN   0.21
          MIROC5     0.17   0.29   0.21   0.32
       MIROC-ESM    -0.04   0.01  -0.05  -0.15
  MIROC-ESM-CHEM     0.02   0.06   0.06   0.03
      MPI-ESM-LR     0.08   0.17    NaN   0.22
      MPI-ESM-MR     0.20   0.15    NaN   0.14
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.21   0.26   0.15   0.32
       NorESM1-M     0.18   0.13   0.12   0.13
      NorESM1-ME     0.07   0.08   0.07   0.17
SSA ANN
      HadGEM2-ES     0.09   0.16   0.23   0.32
       ACCESS1-0      NaN   0.26    NaN   0.38
       ACCESS1-3      NaN   0.32    NaN   0.58
      bcc-csm1-1     0.09   0.10   0.10   0.20
    bcc-csm1-1-m     0.13   0.14   0.14   0.26
         BNU-ESM     0.03   0.08    NaN   0.11
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2    -0.07   0.02    NaN   0.13
      CESM1-CAM5     0.23   0.20   0.20   0.31
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.59
         CMCC-CM      NaN   0.21    NaN   0.42
        CMCC-CMS      NaN   0.17    NaN   0.33
           CCSM4     0.12   0.14   0.16   0.28
        CNRM-CM5     0.08   0.12    NaN   0.17
   CSIRO-Mk3-6-0     0.14   0.13   0.13   0.22
        EC-EARTH      NaN    NaN    NaN   0.20
       FGOALS-g2     0.01   0.00    NaN  -0.02
         FIO-ESM     0.14   0.18   0.17   0.24
        GFDL-CM3    -0.04  -0.06  -0.09  -0.10
      GFDL-ESM2G     0.04   0.03  -0.00  -0.07
      GFDL-ESM2M     0.02   0.02  -0.02  -0.04
       GISS-E2-R     0.07   0.14   0.21   0.25
       GISS-E2-H     0.06   0.16   0.16   0.24
    GISS-E2-R-CC      NaN   0.15    NaN    NaN
    GISS-E2-H-CC      NaN   0.12    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.12    NaN   0.24
      HadGEM2-AO     0.05   0.23   0.18   0.27
          inmcm4      NaN   0.09    NaN   0.10
    IPSL-CM5A-LR     0.05   0.02   0.00   0.06
    IPSL-CM5A-MR     0.06   0.09   0.09   0.17
    IPSL-CM5B-LR      NaN   0.11    NaN   0.20
          MIROC5     0.06   0.19   0.14   0.21
       MIROC-ESM    -0.05  -0.01   0.02  -0.00
  MIROC-ESM-CHEM     0.02   0.03   0.03   0.06
      MPI-ESM-LR     0.09   0.11    NaN   0.13
      MPI-ESM-MR     0.08   0.10    NaN   0.06
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.10   0.17   0.11   0.33
       NorESM1-M     0.08   0.11   0.09   0.11
      NorESM1-ME     0.04   0.09   0.06   0.09
NEU DJF
      HadGEM2-ES     0.22   0.34   0.29   0.47
       ACCESS1-0      NaN   0.31    NaN   0.60
       ACCESS1-3      NaN   0.39    NaN   0.70
      bcc-csm1-1     0.22   0.39   0.45   0.61
    bcc-csm1-1-m     0.19   0.36   0.29   0.59
         BNU-ESM     0.22   0.29    NaN   0.37
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.25   0.42    NaN   0.65
      CESM1-CAM5     0.31   0.32   0.35   0.64
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.73
         CMCC-CM      NaN   0.57    NaN   0.73
        CMCC-CMS      NaN   0.37    NaN   0.69
           CCSM4     0.18   0.16   0.25   0.53
        CNRM-CM5     0.11   0.29    NaN   0.33
   CSIRO-Mk3-6-0     0.17   0.17   0.15   0.35
        EC-EARTH      NaN    NaN    NaN   0.30
       FGOALS-g2     0.13   0.18    NaN   0.40
         FIO-ESM    -0.17  -0.05   0.03   0.15
        GFDL-CM3     0.30   0.48   0.49   0.84
      GFDL-ESM2G     0.10   0.25   0.28   0.49
      GFDL-ESM2M     0.31   0.33   0.45   0.48
       GISS-E2-R     0.16   0.28   0.26   0.48
       GISS-E2-H     0.20   0.41   0.24   0.39
    GISS-E2-R-CC      NaN   0.18    NaN    NaN
    GISS-E2-H-CC      NaN   0.44    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.34    NaN   0.46
      HadGEM2-AO     0.13   0.27   0.11   0.54
          inmcm4      NaN   0.13    NaN   0.15
    IPSL-CM5A-LR     0.33   0.48   0.48   0.80
    IPSL-CM5A-MR     0.16   0.45   0.41   0.73
    IPSL-CM5B-LR      NaN   0.32    NaN   0.53
          MIROC5     0.09   0.25   0.19   0.33
       MIROC-ESM     0.47   0.61   0.72   0.99
  MIROC-ESM-CHEM     0.39   0.62   0.74   0.88
      MPI-ESM-LR     0.35   0.30    NaN   0.53
      MPI-ESM-MR     0.25   0.29    NaN   0.46
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.20   0.25   0.21   0.41
       NorESM1-M     0.13   0.30   0.38   0.48
      NorESM1-ME     0.17   0.29   0.36   0.60
NEU MAM
      HadGEM2-ES     0.15   0.24   0.15   0.27
       ACCESS1-0      NaN   0.16    NaN   0.19
       ACCESS1-3      NaN   0.22    NaN   0.30
      bcc-csm1-1     0.11   0.14   0.21   0.28
    bcc-csm1-1-m     0.07   0.14   0.21   0.35
         BNU-ESM     0.00  -0.01    NaN   0.02
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.24   0.26    NaN   0.33
      CESM1-CAM5     0.07   0.21   0.11   0.30
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.30
         CMCC-CM      NaN   0.28    NaN   0.52
        CMCC-CMS      NaN   0.17    NaN   0.26
           CCSM4     0.18   0.20   0.13   0.26
        CNRM-CM5     0.15   0.25    NaN   0.16
   CSIRO-Mk3-6-0     0.29   0.22   0.22   0.37
        EC-EARTH      NaN    NaN    NaN   0.27
       FGOALS-g2     0.11   0.21    NaN   0.32
         FIO-ESM     0.04   0.11   0.04   0.05
        GFDL-CM3     0.11   0.21   0.24   0.32
      GFDL-ESM2G     0.01   0.10   0.13   0.20
      GFDL-ESM2M     0.13   0.16   0.14   0.17
       GISS-E2-R     0.03   0.13   0.12   0.28
       GISS-E2-H     0.13   0.29   0.23   0.35
    GISS-E2-R-CC      NaN   0.09    NaN    NaN
    GISS-E2-H-CC      NaN   0.44    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.23    NaN   0.31
      HadGEM2-AO     0.10   0.13   0.03   0.04
          inmcm4      NaN   0.11    NaN   0.19
    IPSL-CM5A-LR     0.03   0.13   0.15   0.23
    IPSL-CM5A-MR     0.15   0.05   0.14   0.19
    IPSL-CM5B-LR      NaN   0.01    NaN   0.16
          MIROC5     0.07   0.08   0.09   0.08
       MIROC-ESM     0.10   0.25   0.15   0.29
  MIROC-ESM-CHEM     0.19   0.29   0.28   0.29
      MPI-ESM-LR     0.12   0.14    NaN   0.32
      MPI-ESM-MR     0.04   0.09    NaN   0.20
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.05   0.12   0.07   0.24
       NorESM1-M     0.17   0.18   0.17   0.30
      NorESM1-ME     0.12   0.10   0.16   0.20
NEU JJA
      HadGEM2-ES    -0.00  -0.04  -0.09  -0.20
       ACCESS1-0      NaN  -0.07    NaN  -0.23
       ACCESS1-3      NaN   0.03    NaN  -0.03
      bcc-csm1-1     0.16   0.20   0.08   0.10
    bcc-csm1-1-m     0.10   0.06   0.03  -0.04
         BNU-ESM     0.04   0.00    NaN  -0.06
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.17   0.11    NaN  -0.06
      CESM1-CAM5     0.13   0.03   0.03  -0.07
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.31
         CMCC-CM      NaN   0.17    NaN   0.18
        CMCC-CMS      NaN   0.09    NaN   0.13
           CCSM4    -0.02  -0.07  -0.03  -0.16
        CNRM-CM5     0.15   0.15    NaN   0.28
   CSIRO-Mk3-6-0    -0.09  -0.13  -0.08  -0.22
        EC-EARTH      NaN    NaN    NaN   0.02
       FGOALS-g2     0.09   0.16    NaN   0.27
         FIO-ESM    -0.38  -0.31  -0.35  -0.25
        GFDL-CM3     0.14   0.06   0.03   0.00
      GFDL-ESM2G     0.08   0.12   0.06   0.08
      GFDL-ESM2M     0.13   0.15   0.12   0.07
       GISS-E2-R     0.02   0.10   0.06   0.18
       GISS-E2-H     0.06   0.05   0.12   0.20
    GISS-E2-R-CC      NaN   0.10    NaN    NaN
    GISS-E2-H-CC      NaN   0.15    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN  -0.07    NaN  -0.17
      HadGEM2-AO    -0.03  -0.10  -0.27  -0.35
          inmcm4      NaN   0.07    NaN   0.12
    IPSL-CM5A-LR     0.17   0.19   0.17   0.26
    IPSL-CM5A-MR     0.14   0.14   0.16   0.21
    IPSL-CM5B-LR      NaN   0.09    NaN   0.12
          MIROC5     0.10   0.13   0.21   0.17
       MIROC-ESM     0.27   0.32   0.33   0.41
  MIROC-ESM-CHEM     0.30   0.33   0.31   0.39
      MPI-ESM-LR     0.12   0.08    NaN  -0.00
      MPI-ESM-MR    -0.00  -0.02    NaN  -0.06
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.14   0.21   0.21   0.30
       NorESM1-M     0.05  -0.04  -0.03  -0.15
      NorESM1-ME     0.09   0.04  -0.00  -0.03
NEU SON
      HadGEM2-ES     0.01   0.20   0.09   0.32
       ACCESS1-0      NaN   0.17    NaN   0.42
       ACCESS1-3      NaN   0.37    NaN   0.63
      bcc-csm1-1     0.27   0.29   0.32   0.44
    bcc-csm1-1-m     0.23   0.27   0.39   0.44
         BNU-ESM     0.13   0.13    NaN   0.20
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.31   0.27    NaN   0.63
      CESM1-CAM5     0.13   0.19   0.21   0.33
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.76
         CMCC-CM      NaN   0.49    NaN   0.66
        CMCC-CMS      NaN   0.52    NaN   0.64
           CCSM4     0.26   0.18   0.15   0.29
        CNRM-CM5     0.13   0.18    NaN   0.22
   CSIRO-Mk3-6-0     0.21   0.38   0.38   0.58
        EC-EARTH      NaN    NaN    NaN   0.36
       FGOALS-g2     0.08   0.24    NaN   0.40
         FIO-ESM    -0.22  -0.24  -0.15  -0.08
        GFDL-CM3     0.38   0.39   0.52   0.77
      GFDL-ESM2G     0.02   0.21   0.25   0.34
      GFDL-ESM2M     0.26   0.27   0.33   0.41
       GISS-E2-R     0.07   0.19   0.19   0.31
       GISS-E2-H     0.09   0.25   0.23   0.36
    GISS-E2-R-CC      NaN   0.14    NaN    NaN
    GISS-E2-H-CC      NaN   0.29    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.18    NaN   0.45
      HadGEM2-AO     0.09   0.12   0.11   0.20
          inmcm4      NaN   0.04    NaN   0.02
    IPSL-CM5A-LR     0.29   0.31   0.35   0.56
    IPSL-CM5A-MR     0.13   0.25   0.30   0.48
    IPSL-CM5B-LR      NaN   0.30    NaN   0.53
          MIROC5     0.21   0.32   0.31   0.54
       MIROC-ESM     0.46   0.59   0.62   0.84
  MIROC-ESM-CHEM     0.62   0.62   0.69   0.87
      MPI-ESM-LR     0.14   0.10    NaN   0.38
      MPI-ESM-MR     0.22   0.17    NaN   0.26
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.19   0.32   0.28   0.41
       NorESM1-M     0.17   0.30   0.22   0.42
      NorESM1-ME     0.19   0.18   0.24   0.31
NEU ANN
      HadGEM2-ES     0.09   0.18   0.11   0.22
       ACCESS1-0      NaN   0.14    NaN   0.25
       ACCESS1-3      NaN   0.25    NaN   0.40
      bcc-csm1-1     0.19   0.26   0.26   0.36
    bcc-csm1-1-m     0.15   0.21   0.23   0.34
         BNU-ESM     0.10   0.10    NaN   0.13
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.24   0.26    NaN   0.39
      CESM1-CAM5     0.16   0.19   0.17   0.30
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.52
